,CountryName,CurrencyName,CurrencySymbol,CurrencyNumber,CurrencyUnits
3,AFGHANISTAN,Afghani,AFN,971,2
3,ÅLAND ISLANDS,Euro,EUR,978,2
3,ALBANIA,Lek,ALL,008,2
3,ALGERIA,Algerian Dinar,DZD,012,2
3,AMERICAN SAMOA,US Dollar,USD,840,2
3,ANDORRA,Euro,EUR,978,2
3,ANGOLA,Kwanza,AOA,973,2
3,ANGUILLA,East Caribbean Dollar,XCD,951,2
3,ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,951,2
3,ARGENTINA,Argentine Peso,ARS,032,2
3,ARMENIA,Armenian Dram,AMD,051,2
3,ARUBA,Aruban Florin,AWG,533,2
3,AUSTRALIA,Australian Dollar,AUD,036,2
3,AUSTRIA,Euro,EUR,978,2
3,AZERBAIJAN,Azerbaijanian Manat,AZN,944,2
3,BAHAMAS,Bahamian Dollar,BSD,044,2
3,BAHRAIN,Bahraini Dinar,BHD,048,3
3,BANGLADESH,Taka,BDT,050,2
3,BARBADOS,Barbados Dollar,BBD,052,2
3,BELARUS,Belarussian Ruble,BYR,974,0
3,BELGIUM,Euro,EUR,978,2
3,BELIZE,Belize Dollar,BZD,084,2
3,BENIN,CFA Franc BCEAO,XOF,952,0
3,BERMUDA,Bermudian Dollar,BMD,060,2
3,BHUTAN,Ngultrum,BTN,064,2
3,BHUTAN,Indian Rupee,INR,356,2
3,"BOLIVIA, PLURINATIONAL STATE OF",Boliviano,BOB,068,2
3,"BOLIVIA, PLURINATIONAL STATE OF",Mvdol,BOV,984,2
3,"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,840,2
3,BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977,2
3,BOTSWANA,Pula,BWP,072,2
3,BOUVET ISLAND,Norwegian Krone,NOK,578,2
3,BRAZIL,Brazilian Real,BRL,986,2
3,BRITISH INDIAN OCEAN TERRITORY,US Dollar,USD,840,2
3,BRUNEI DARUSSALAM,Brunei Dollar,BND,096,2
3,BULGARIA,Bulgarian Lev,BGN,975,2
3,BURKINA FASO,CFA Franc BCEAO,XOF,952,0
3,BURUNDI,Burundi Franc,BIF,108,0
3,CAMBODIA,Riel,KHR,116,2
3,CAMEROON,CFA Franc BEAC,XAF,950,0
3,CANADA,Canadian Dollar,CAD,124,2
3,CABO VERDE,Cabo Verde Escudo,CVE,132,2
3,CAYMAN ISLANDS,Cayman Islands Dollar,KYD,136,2
3,CENTRAL AFRICAN REPUBLIC,CFA Franc BEAC,XAF,950,0
3,CHAD,CFA Franc BEAC,XAF,950,0
3,CHILE,Unidad de Fomento,CLF,990,4
3,CHILE,Chilean Peso,CLP,152,0
3,CHINA,Yuan Renminbi,CNY,156,2
3,CHRISTMAS ISLAND,Australian Dollar,AUD,036,2
3,COCOS (KEELING) ISLANDS,Australian Dollar,AUD,036,2
3,COLOMBIA,Colombian Peso,COP,170,2
3,COLOMBIA,Unidad de Valor Real,COU,970,2
3,COMOROS,Comoro Franc,KMF,174,0
3,CONGO,CFA Franc BEAC,XAF,950,0
3,"CONGO, DEMOCRATIC REPUBLIC OF THE ",Congolese Franc,CDF,976,2
3,COOK ISLANDS,New Zealand Dollar,NZD,554,2
3,COSTA RICA,Costa Rican Colon,CRC,188,2
3,CÔTE D'IVOIRE,CFA Franc BCEAO,XOF,952,0
3,CROATIA,Croatian Kuna,HRK,191,2
3,CUBA,Peso Convertible,CUC,931,2
3,CUBA,Cuban Peso,CUP,192,2
3,CURAÇAO,Netherlands Antillean Guilder,ANG,532,2
3,CYPRUS,Euro,EUR,978,2
3,CZECH REPUBLIC,Czech Koruna,CZK,203,2
3,DENMARK,Danish Krone,DKK,208,2
3,DJIBOUTI,Djibouti Franc,DJF,262,0
3,DOMINICA,East Caribbean Dollar,XCD,951,2
3,DOMINICAN REPUBLIC,Dominican Peso,DOP,214,2
3,ECUADOR,US Dollar,USD,840,2
3,EGYPT,Egyptian Pound,EGP,818,2
3,EL SALVADOR,El Salvador Colon,SVC,222,2
3,EL SALVADOR,US Dollar,USD,840,2
3,EQUATORIAL GUINEA,CFA Franc BEAC,XAF,950,0
3,ERITREA,Nakfa,ERN,232,2
3,ESTONIA,Euro,EUR,978,2
3,ETHIOPIA,Ethiopian Birr,ETB,230,2
3,EUROPEAN UNION,Euro,EUR,978,2
3,FALKLAND ISLANDS (MALVINAS),Falkland Islands Pound,FKP,238,2
3,FAROE ISLANDS,Danish Krone,DKK,208,2
3,FIJI,Fiji Dollar,FJD,242,2
3,FINLAND,Euro,EUR,978,2
3,FRANCE,Euro,EUR,978,2
3,FRENCH GUIANA,Euro,EUR,978,2
3,FRENCH POLYNESIA,CFP Franc,XPF,953,0
3,FRENCH SOUTHERN TERRITORIES,Euro,EUR,978,2
3,GABON,CFA Franc BEAC,XAF,950,0
3,GAMBIA,Dalasi,GMD,270,2
3,GEORGIA,Lari,GEL,981,2
3,GERMANY,Euro,EUR,978,2
3,GHANA,Ghana Cedi,GHS,936,2
3,GIBRALTAR,Gibraltar Pound,GIP,292,2
3,GREECE,Euro,EUR,978,2
3,GREENLAND,Danish Krone,DKK,208,2
3,GRENADA,East Caribbean Dollar,XCD,951,2
3,GUADELOUPE,Euro,EUR,978,2
3,GUAM,US Dollar,USD,840,2
3,GUATEMALA,Quetzal,GTQ,320,2
3,GUERNSEY,Pound Sterling,GBP,826,2
3,GUINEA,Guinea Franc,GNF,324,0
3,GUINEA-BISSAU,CFA Franc BCEAO,XOF,952,0
3,GUYANA,Guyana Dollar,GYD,328,2
3,HAITI,Gourde,HTG,332,2
3,HAITI,US Dollar,USD,840,2
3,HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,036,2
3,HOLY SEE (VATICAN CITY STATE),Euro,EUR,978,2
3,HONDURAS,Lempira,HNL,340,2
3,HONG KONG,Hong Kong Dollar,HKD,344,2
3,HUNGARY,Forint,HUF,348,2
3,ICELAND,Iceland Krona,ISK,352,0
3,INDIA,Indian Rupee,INR,356,2
3,INDONESIA,Rupiah,IDR,360,2
3,INTERNATIONAL MONETARY FUND (IMF) ,SDR (Special Drawing Right),XDR,960,N.A.
3,"IRAN, ISLAMIC REPUBLIC OF",Iranian Rial,IRR,364,2
3,IRAQ,Iraqi Dinar,IQD,368,3
3,IRELAND,Euro,EUR,978,2
3,ISLE OF MAN,Pound Sterling,GBP,826,2
3,ISRAEL,New Israeli Sheqel,ILS,376,2
3,ITALY,Euro,EUR,978,2
3,JAMAICA,Jamaican Dollar,JMD,388,2
3,JAPAN,Yen,JPY,392,0
3,JERSEY,Pound Sterling,GBP,826,2
3,JORDAN,Jordanian Dinar,JOD,400,3
3,KAZAKHSTAN,Tenge,KZT,398,2
3,KENYA,Kenyan Shilling,KES,404,2
3,KIRIBATI,Australian Dollar,AUD,036,2
3,"KOREA, DEMOCRATIC PEOPLE’S REPUBLIC OF",North Korean Won,KPW,408,2
3,"KOREA, REPUBLIC OF",Won,KRW,410,0
3,KUWAIT,Kuwaiti Dinar,KWD,414,3
3,KYRGYZSTAN,Som,KGS,417,2
3,LAO PEOPLE’S DEMOCRATIC REPUBLIC,Kip,LAK,418,2
3,LATVIA,Euro,EUR,978,2
3,LEBANON,Lebanese Pound,LBP,422,2
3,LESOTHO,Loti,LSL,426,2
3,LESOTHO,Rand,ZAR,710,2
3,LIBERIA,Liberian Dollar,LRD,430,2
3,LIBYA,Libyan Dinar,LYD,434,3
3,LIECHTENSTEIN,Swiss Franc,CHF,756,2
3,LITHUANIA,Euro,EUR,978,2
3,LUXEMBOURG,Euro,EUR,978,2
3,MACAO,Pataca,MOP,446,2
3,"MACEDONIA, THE FORMER 
YUGOSLAV REPUBLIC OF",Denar,MKD,807,2
3,MADAGASCAR,Malagasy Ariary,MGA,969,2
3,MALAWI,Kwacha,MWK,454,2
3,MALAYSIA,Malaysian Ringgit,MYR,458,2
3,MALDIVES,Rufiyaa,MVR,462,2
3,MALI,CFA Franc BCEAO,XOF,952,0
3,MALTA,Euro,EUR,978,2
3,MARSHALL ISLANDS,US Dollar,USD,840,2
3,MARTINIQUE,Euro,EUR,978,2
3,MAURITANIA,Ouguiya,MRO,478,2
3,MAURITIUS,Mauritius Rupee,MUR,480,2
3,MAYOTTE,Euro,EUR,978,2
3,MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP,ADB Unit of Account,XUA,965,N.A.
3,MEXICO,Mexican Peso,MXN,484,2
3,MEXICO,Mexican Unidad de Inversion (UDI),MXV,979,2
3,"MICRONESIA, FEDERATED STATES OF",US Dollar,USD,840,2
3,"MOLDOVA, REPUBLIC OF",Moldovan Leu,MDL,498,2
3,MONACO,Euro,EUR,978,2
3,MONGOLIA,Tugrik,MNT,496,2
3,MONTENEGRO,Euro,EUR,978,2
3,MONTSERRAT,East Caribbean Dollar,XCD,951,2
3,MOROCCO,Moroccan Dirham,MAD,504,2
3,MOZAMBIQUE,Mozambique Metical,MZN,943,2
3,MYANMAR,Kyat,MMK,104,2
3,NAMIBIA,Namibia Dollar,NAD,516,2
3,NAMIBIA,Rand,ZAR,710,2
3,NAURU,Australian Dollar,AUD,036,2
3,NEPAL,Nepalese Rupee,NPR,524,2
3,NETHERLANDS,Euro,EUR,978,2
3,NEW CALEDONIA,CFP Franc,XPF,953,0
3,NEW ZEALAND,New Zealand Dollar,NZD,554,2
3,NICARAGUA,Cordoba Oro,NIO,558,2
3,NIGER,CFA Franc BCEAO,XOF,952,0
3,NIGERIA,Naira,NGN,566,2
3,NIUE,New Zealand Dollar,NZD,554,2
3,NORFOLK ISLAND,Australian Dollar,AUD,036,2
3,NORTHERN MARIANA ISLANDS,US Dollar,USD,840,2
3,NORWAY,Norwegian Krone,NOK,578,2
3,OMAN,Rial Omani,OMR,512,3
3,PAKISTAN,Pakistan Rupee,PKR,586,2
3,PALAU,US Dollar,USD,840,2
3,PANAMA,Balboa,PAB,590,2
3,PANAMA,US Dollar,USD,840,2
3,PAPUA NEW GUINEA,Kina,PGK,598,2
3,PARAGUAY,Guarani,PYG,600,0
3,PERU,Nuevo Sol,PEN,604,2
3,PHILIPPINES,Philippine Peso,PHP,608,2
3,PITCAIRN,New Zealand Dollar,NZD,554,2
3,POLAND,Zloty,PLN,985,2
3,PORTUGAL,Euro,EUR,978,2
3,PUERTO RICO,US Dollar,USD,840,2
3,QATAR,Qatari Rial,QAR,634,2
3,RÉUNION,Euro,EUR,978,2
3,ROMANIA,New Romanian Leu,RON,946,2
3,RUSSIAN FEDERATION,Russian Ruble,RUB,643,2
3,RWANDA,Rwanda Franc,RWF,646,0
3,SAINT BARTHÉLEMY,Euro,EUR,978,2
3,"SAINT HELENA, ASCENSION AND 
TRISTAN DA CUNHA",Saint Helena Pound,SHP,654,2
3,SAINT KITTS AND NEVIS,East Caribbean Dollar,XCD,951,2
3,SAINT LUCIA,East Caribbean Dollar,XCD,951,2
3,SAINT MARTIN (FRENCH PART),Euro,EUR,978,2
3,SAINT PIERRE AND MIQUELON,Euro,EUR,978,2
3,SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar,XCD,951,2
3,SAMOA,Tala,WST,882,2
3,SAN MARINO,Euro,EUR,978,2
3,SAO TOME AND PRINCIPE,Dobra,STD,678,2
3,SAUDI ARABIA,Saudi Riyal,SAR,682,2
3,SENEGAL,CFA Franc BCEAO,XOF,952,0
3,SERBIA,Serbian Dinar,RSD,941,2
3,SEYCHELLES,Seychelles Rupee,SCR,690,2
3,SIERRA LEONE,Leone,SLL,694,2
3,SINGAPORE,Singapore Dollar,SGD,702,2
3,SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder,ANG,532,2
3,"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""",Sucre,XSU,994,N.A.
3,SLOVAKIA,Euro,EUR,978,2
3,SLOVENIA,Euro,EUR,978,2
3,SOLOMON ISLANDS,Solomon Islands Dollar,SBD,090,2
3,SOMALIA,Somali Shilling,SOS,706,2
3,SOUTH AFRICA,Rand,ZAR,710,2
3,SOUTH SUDAN,South Sudanese Pound,SSP,728,2
3,SPAIN,Euro,EUR,978,2
3,SRI LANKA,Sri Lanka Rupee,LKR,144,2
3,SUDAN,Sudanese Pound,SDG,938,2
3,SURINAME,Surinam Dollar,SRD,968,2
3,SVALBARD AND JAN MAYEN,Norwegian Krone,NOK,578,2
3,SWAZILAND,Lilangeni,SZL,748,2
3,SWEDEN,Swedish Krona,SEK,752,2
3,SWITZERLAND,WIR Euro,CHE,947,2
3,SWITZERLAND,Swiss Franc,CHF,756,2
3,SWITZERLAND,WIR Franc,CHW,948,2
3,SYRIAN ARAB REPUBLIC,Syrian Pound,SYP,760,2
3,"TAIWAN, PROVINCE OF CHINA",New Taiwan Dollar,TWD,901,2
3,TAJIKISTAN,Somoni,TJS,972,2
3,"TANZANIA, UNITED REPUBLIC OF",Tanzanian Shilling,TZS,834,2
3,THAILAND,Baht,THB,764,2
3,TIMOR-LESTE,US Dollar,USD,840,2
3,TOGO,CFA Franc BCEAO,XOF,952,0
3,TOKELAU,New Zealand Dollar,NZD,554,2
3,TONGA,Pa’anga,TOP,776,2
3,TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD,780,2
3,TUNISIA,Tunisian Dinar,TND,788,3
3,TURKEY,Turkish Lira,TRY,949,2
3,TURKMENISTAN,Turkmenistan New Manat,TMT,934,2
3,TURKS AND CAICOS ISLANDS,US Dollar,USD,840,2
3,TUVALU,Australian Dollar,AUD,036,2
3,UGANDA,Uganda Shilling,UGX,800,0
3,UKRAINE,Hryvnia,UAH,980,2
3,UNITED ARAB EMIRATES,UAE Dirham,AED,784,2
3,UNITED KINGDOM,Pound Sterling,GBP,826,2
3,UNITED STATES,US Dollar,USD,840,2
3,UNITED STATES,US Dollar (Next day),USN,997,2
3,UNITED STATES MINOR OUTLYING ISLANDS,US Dollar,USD,840,2
3,URUGUAY,Uruguay Peso en Unidades Indexadas (URUIURUI),UYI,940,0
3,URUGUAY,Peso Uruguayo,UYU,858,2
3,UZBEKISTAN,Uzbekistan Sum,UZS,860,2
3,VANUATU,Vatu,VUV,548,0
3,"VENEZUELA, BOLIVARIAN REPUBLIC OF",Bolivar,VEF,937,2
3,VIET NAM,Dong,VND,704,0
3,VIRGIN ISLANDS (BRITISH),US Dollar,USD,840,2
3,VIRGIN ISLANDS (U.S.),US Dollar,USD,840,2
3,WALLIS AND FUTUNA,CFP Franc,XPF,953,0
3,WESTERN SAHARA,Moroccan Dirham,MAD,504,2
3,YEMEN,Yemeni Rial,YER,886,2
3,ZAMBIA,Zambian Kwacha,ZMW,967,2
3,ZIMBABWE,Zimbabwe Dollar,ZWL,932,2
3,ZZ01_Bond Markets Unit European_EURCO,Bond Markets Unit European Composite Unit (EURCO),XBA,955,N.A.
3,ZZ02_Bond Markets Unit European_EMU-6,Bond Markets Unit European Monetary Unit (E.M.U.-6),XBB,956,N.A.
3,ZZ03_Bond Markets Unit European_EUA-9,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),XBC,957,N.A.
3,ZZ04_Bond Markets Unit European_EUA-17,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),XBD,958,N.A.
3,ZZ06_Testing_Code,Codes specifically reserved for testing purposes,XTS,963,N.A.
3,ZZ07_No_Currency,The codes assigned for transactions where no currency is involved,XXX,999,N.A.
3,ZZ08_Gold,Gold,XAU,959,N.A.
3,ZZ09_Palladium,Palladium,XPD,964,N.A.
3,ZZ10_Platinum,Platinum,XPT,962,N.A.
3,ZZ11_Silver,Silver,XAG,961,N.A.
